tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Dot4 Org,13iTPfjzkacRggDUPpN3SUWgbLT9ziasXNKXCbUVdwqiNTCX,Scam,Phishing
Dot21 Net,1Z5ohZkHN4TjWeKpcA3tqpd4uNSA3r9fzsEG9aviDUWAeo2,Scam,Phishing
Telegraph,1X3M7sGA1Nbgd8Qh45uqdQMPNFXSHbWnvPp6CkQ9Ttp46dQ,Scam,Phishing
Telegraph,14MrAYGMmV9Yy2JDQQUzvPS6zQUyXHNLrNLV8bLtPV4K7otN,Scam,Phishing
3Xpool Bid,155dDX3rWoNsY4aiJFbsu6wLB91c2J2Ws5BgMfJKyM1eGnkS,Scam,Phishing
Get-Dot Me,15hwZjAVgAmEfH8LYCQEVVLQ7tHq2b5Ns6K6HwpuoCCEb4Mg,Scam,Phishing
Telegra Ph,125W1NSHM63kKp1xTrKgUijAMMKKm8kwgydXKno6VNhKs77i,Scam,Phishing
Musk-In Com,12rpYzbZHLmM83UcAuudQWr4cdb6xVCCe2brMQeno5isbSwK,Scam,Phishing
Twitter Com,15MGfKyXwLuuBndsiz25CJXjzR7Xp4SwTXkYJR2nNY5MGrPE,Scam,Phishing
Youtube Com,13afnZRWDqmaRapMg6URQkDEnoxuVzHUCYo2v61dXaKHdgBB,Scam,Phishing
Dotevent Org,1ZkzFrJ3jecDVQ4oLWJ2fEftUUc2aSAyN8kAPLrV2dFJt3K,Scam,Phishing
Dotevent Org,12759G1BVPC7cAb5tT8qLzDJUcnBuyW3n3icMwAA8uWGiUtT,Scam,Phishing
Seed Stealer,12NGEpLromdZjqEG1Zt7eTmsJD96xKGyzwjzTTWnh4Gp4JgS,Scam,Phishing
Seed Stealer,12b6GgmwVVRDfdq1XCigqLMjFDQB35eNpxSqPABHrFfJ7ahf,Scam,Phishing
Seed Stealer,1ufPsKFDy9CZWvx8cJbxaBranc5FZBo9XZMNnnezQTmT6BB,Scam,Phishing
Dot-Promo Com,14VezybXdNSVoWLKN1HSae56WEV6AXrLY4HKEWjJ4Z7BegJd,Scam,Phishing
Dotevent Live,12dXTqdx5gV8SeBkugtsWrYF57BqiJk8QTGuEauqGAApBtar,Scam,Phishing
Polkadot Band,13KSYqMKZj78fmhgVNMKvpSGcY8acwBTrqZek4pmeUx8pGri,Scam,Phishing
Polkagive Com,15fv8ovgk2kw43EYK7e5Pz2aBnAhDhoYQRcep9i3iwUFmBSf,Scam,Phishing
Polkagiveaway,167u8YLEEBwENxQnKw8GJwbWWREoWxMGMnVuXW6HcYBXbVc2,Scam,Phishing
Blockfipro Com,15Z7MdMM71vHTL7jNmNhm5xCUG5szJuyccGr3p5uzZgkz6Lv,Scam,Phishing
Claimpolka Com,12jo5dBMedbma3XcU6Grj7m6ckeupjg4aj9Q1oFyK3Z7oh3,Scam,Phishing
Dot-Event Live,14ZWBoQugxP2i1pjYALrhEihJgKm8S33q63i8unxucooYMiC,Scam,Phishing
Okexevent Live,1V4SqTDeq79DVtgHBjpkuJtNDJt3KvCEzphRJWKs29Fn7DF,Scam,Phishing
Polkabonus Com,16XuqCCe8kBK7SbLhaLhUQQzRLJthB2hdrPzKghVGZqwAsRs,Scam,Phishing
Polkadot Deals,12Hyg8wxXFVrggfQNvUAJDH7wAtZz1VzAmvr5dL4PnUswh9t,Scam,Phishing
Polkadot22 Com,15ijgCpxnMMGPzao1baotnN8rCfTa1vaFAc1xiLvNQJonACh,Scam,Phishing
